Kviews,poro,visc,time,etta,class
1,0.13089,0.414938,0,0.00414,1
1,0.13089,0.414938,200,0.033697,1
1,0.13089,0.414938,400,0.060086,1
1,0.13089,0.414938,600,0.085833,1
1,0.13089,0.414938,800,0.111229,2
1,0.13089,0.414938,1000,0.136172,2
1,0.13089,0.414938,1200,0.160712,2
1,0.13089,0.414938,1400,0.18472,2
1,0.13089,0.414938,1600,0.208207,3
1,0.13089,0.414938,1800,0.231302,3
1,0.13089,0.414938,2000,0.253938,3
1,0.13089,0.414938,2200,0.27599,3
1,0.13089,0.414938,2400,0.298202,3
1,0.13089,0.414938,2600,0.314311,4
1,0.13089,0.414938,2800,0.326652,4
1,0.13089,0.414938,3000,0.337199,4
1,0.13089,0.414938,3200,0.346465,4
1,0.13089,0.414938,3400,0.35474,4
1,0.13089,0.414938,3600,0.362243,4
1,0.13089,0.414938,3800,0.369138,4
1,0.13089,0.414938,4000,0.375526,4
1,0.13089,0.414938,4200,0.381519,4
1,0.13089,0.414938,4400,0.387234,4
1,0.13089,0.414938,4600,0.392754,4
1,0.13089,0.414938,4800,0.398134,4
1,0.13089,0.414938,5000,0.403414,5
1,0.13089,0.414938,5200,0.408619,5
1,0.13089,0.414938,5400,0.413766,5
1,0.13089,0.414938,5600,0.418862,5
1,0.13089,0.414938,5800,0.423916,5
1,0.13089,0.414938,6000,0.428932,5
1,0.13089,0.414938,6200,0.433912,5
1,0.13089,0.414938,6400,0.438857,5
1,0.13089,0.414938,6600,0.4437640000000001,5
1,0.13089,0.414938,6800,0.448629,5
1,0.13089,0.414938,7000,0.453445,5
1,0.13089,0.414938,7200,0.458209,5
1,0.13089,0.414938,7400,0.4629180000000001,5
1,0.13089,0.414938,7600,0.467571,5
1,0.13089,0.414938,7800,0.472167,5
1,0.13089,0.409836,0,0.004143,1
1,0.13089,0.409836,200,0.033937,1
1,0.13089,0.409836,400,0.060527,1
1,0.13089,0.409836,600,0.086469,1
1,0.13089,0.409836,800,0.112053,2
1,0.13089,0.409836,1000,0.137183,2
1,0.13089,0.409836,1200,0.161906,2
1,0.13089,0.409836,1400,0.186093,2
1,0.13089,0.409836,1600,0.209762,3
1,0.13089,0.409836,1800,0.233042,3
1,0.13089,0.409836,2000,0.255859,3
1,0.13089,0.409836,2200,0.278092,3
1,0.13089,0.409836,2400,0.300436,4
1,0.13089,0.409836,2600,0.316321,4
1,0.13089,0.409836,2800,0.328641,4
1,0.13089,0.409836,3000,0.339193,4
1,0.13089,0.409836,3200,0.348463,4
1,0.13089,0.409836,3400,0.356746,4
1,0.13089,0.409836,3600,0.364257,4
1,0.13089,0.409836,3800,0.371163,4
1,0.13089,0.409836,4000,0.377558,4
1,0.13089,0.409836,4200,0.383564,4
1,0.13089,0.409836,4400,0.389297,4
1,0.13089,0.409836,4600,0.394838,4
1,0.13089,0.409836,4800,0.40024,5
1,0.13089,0.409836,5000,0.405544,5
1,0.13089,0.409836,5200,0.410774,5
1,0.13089,0.409836,5400,0.415945,5
1,0.13089,0.409836,5600,0.421067,5
1,0.13089,0.409836,5800,0.426145,5
1,0.13089,0.409836,6000,0.431185,5
1,0.13089,0.409836,6200,0.4361890000000001,5
1,0.13089,0.409836,6400,0.4411560000000001,5
1,0.13089,0.409836,6600,0.446085,5
1,0.13089,0.409836,6800,0.450969,5
1,0.13089,0.409836,7000,0.455803,5
1,0.13089,0.409836,7200,0.460583,5
1,0.13089,0.409836,7400,0.465307,5
1,0.13089,0.409836,7600,0.469974,5
1,0.13089,0.409836,7800,0.474584,5
1,0.13089,0.107875,0,0.004607,1
1,0.13089,0.107875,200,0.075213,1
1,0.13089,0.107875,400,0.138935,2
1,0.13089,0.107875,600,0.201533,3
1,0.13089,0.107875,800,0.263341,3
1,0.13089,0.107875,1000,0.324854,4
1,0.13089,0.107875,1200,0.386248,4
1,0.13089,0.107875,1400,0.448421,5
1,0.13089,0.107875,1600,0.488841,5
1,0.13089,0.107875,1800,0.517129,6
1,0.13089,0.107875,2000,0.539316,6
1,0.13089,0.107875,2200,0.557904,6
1,0.13089,0.107875,2400,0.573868,6
1,0.13089,0.107875,2600,0.587751,6
1,0.13089,0.107875,2800,0.600141,7
1,0.13089,0.107875,3000,0.611306,7
1,0.13089,0.107875,3200,0.621452,7
1,0.13089,0.107875,3400,0.630753,7
1,0.13089,0.107875,3600,0.639259,7
1,0.13089,0.107875,3800,0.6470670000000001,7
1,0.13089,0.107875,4000,0.654347,7
1,0.13089,0.107875,4200,0.661245,7
1,0.13089,0.107875,4400,0.667864,7
1,0.13089,0.107875,4600,0.67427,7
1,0.13089,0.107875,4800,0.680499,7
1,0.13089,0.107875,5000,0.6865720000000001,7
1,0.13089,0.107875,5200,0.692499,7
1,0.13089,0.107875,5400,0.698285,7
1,0.13089,0.107875,5600,0.703932,8
1,0.13089,0.107875,5800,0.709443,8
1,0.13089,0.107875,6000,0.7148180000000001,8
1,0.13089,0.107875,6200,0.720062,8
1,0.13089,0.107875,6400,0.725176,8
1,0.13089,0.107875,6600,0.730164,8
1,0.13089,0.107875,6800,0.7350300000000001,8
1,0.13089,0.107875,7000,0.739776,8
1,0.13089,0.107875,7200,0.744408,8
1,0.13089,0.107875,7400,0.74893,8
1,0.13089,0.107875,7600,0.753346,8
1,0.13089,0.107875,7800,0.7576609999999999,8


